8V,Etobicoke,New Toronto, Mimico South, Humber Bay Shores
9V,Etobicoke,South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens
1W,Scarborough,Steeles West, L'Amoreaux West
2W,Not assigned,Not assigned
3W,Not assigned,Not assigned
4W,Downtown Toronto,Rosedale
5W,Downtown Toronto,Stn A PO Boxes
6W,Not assigned,Not assigned
7W,Not assigned,Not assigned
8W,Etobicoke,Alderwood, Long Branch
9W,Etobicoke,Northwest, West Humber - Clairville
1X,Scarborough,Upper Rouge
2X,Not assigned,Not assigned
3X,Not assigned,Not assigned
4X,Downtown Toronto,St. James Town, Cabbagetown
5X,Downtown Toronto,First Canadian Place, Underground city
6X,Not assigned,Not assigned
7X,Not assigned,Not assigned
8X,Etobicoke,The Kingsway, Montgomery Road, Old Mill North
9X,Not assigned,Not assigned
1Y,Not assigned,Not assigned
2Y,Not assigned,Not assigned
3Y,Not assigned,Not assigned
4Y,Downtown Toronto,Church and Wellesley
5Y,Not assigned,Not assigned
6Y,Not assigned,Not assigned
7Y,East Toronto,Business reply mail Processing Centre, South Central Letter Processing Plant Toronto
8Y,Etobicoke,Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East
9Y,Not assigned,Not assigned
1Z,Not assigned,Not assigned
2Z,Not assigned,Not assigned
3Z,Not assigned,Not assigned
4Z,Not assigned,Not assigned
5Z,Not assigned,Not assigned
6Z,Not assigned,Not assigned
7Z,Not assigned,Not assigned
8Z,Etobicoke,Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West
9Z,Not assigned,Not assigned
